,Year,Value,1-Month % Change,12-Month % Change
0,1990,58590, N/A, N/A
12,1991,72833,11.5,24.3
24,1992,77402,13.2,6.3
36,1993,64012,6.9,-17.3
48,1994,55100,16.3,-13.9
60,1995,39564,44.0,-28.2
72,1996,40901,28.2,3.4
84,1997,42606,14.9,4.2
96,1998,34526,26.2,-19.0
108,1999,36095,15.9,4.5
120,2000,25443,2.3,-29.5
132,2001,37549,60.9,47.6
144,2002,46887,14.9,24.9
156,2003,51722,18.2,10.3
168,2004,50589,11.7,-2.2
180,2005,55543,4.8,9.8
192,2006,49748,10.7,-10.4
204,2007,52307,14.2,5.1
216,2008,50103,5.1,-4.2
228,2009,76284,15.7,52.3
240,2010,71040,-15.6,-6.9
252,2011,55203,2.3,-22.3
264,2012,50078,5.5,-9.3
276,2013,52196,8.8,4.2
288,2014,44762,6.5,-14.2
300,2015,32811,11.0,-26.7
312,2016,25320,10.2,-22.8
324,2017,28000,23.7,10.6
336,2018,25340,9.2,-9.5
348,2019,25215,12.0,-0.5
360,2020,21626,12.8,-14.2
372,2021,39734,-6.9,83.7
384,2022,24995,16.5,-37.1
396,2023,20907,29.1,-16.4
