,Country Name,Year,Percent of GDP
0,United Kingdom,1970,43.0249380176673
1,United States,1970,10.7582854049602
2,United Kingdom,1971,42.6711698981268
3,United States,1971,10.7571790359274
4,United Kingdom,1972,41.6030872542393
5,United States,1972,11.3406196496001
6,United Kingdom,1973,47.4667977199277
7,United States,1973,13.0792155894304
8,United Kingdom,1974,58.7637435786943
9,United States,1974,16.4449863225396
10,United Kingdom,1975,52.781348719732
11,United States,1975,15.5163736331565
12,United Kingdom,1976,57.4463785245268
13,United States,1976,16.0488456356637
14,United Kingdom,1977,58.9591422660726
15,United States,1977,16.4178946751554
16,United Kingdom,1978,55.0116982467759
17,United States,1978,16.9728342289651
18,United Kingdom,1979,54.6863579570945
19,United States,1979,18.3761632042836
20,United Kingdom,1980,51.3360049692098
21,United States,1980,20.1098446894226
22,United Kingdom,1981,49.4164598546928
23,United States,1981,19.4259131704272
24,United Kingdom,1982,49.6382268141947
25,United States,1982,17.5368122809184
26,United Kingdom,1983,50.8376853322436
27,United States,1983,16.6655934803103
28,United Kingdom,1984,55.4338459010912
29,United States,1984,17.5224074224053
30,United Kingdom,1985,54.9772978956121
31,United States,1985,16.603906126303
32,United Kingdom,1986,50.550617702182
33,United States,1986,16.8979771514343
34,United Kingdom,1987,49.9170699505445
35,United States,1987,17.9735809845702
36,United Kingdom,1988,47.3791932706759
37,United States,1988,19.0701007058615
38,United Kingdom,1989,48.6961418292993
39,United States,1989,19.4151283860195
40,United Kingdom,1990,48.2704153016293
41,United States,1990,19.8150505840543
42,United Kingdom,1991,45.3362535997259
43,United States,1991,19.7864481240974
44,United Kingdom,1992,46.3266859574215
45,United States,1992,19.9505945023923
46,United Kingdom,1993,49.7708527497619
47,United States,1993,20.0446187019752
48,United Kingdom,1994,51.9100648688399
49,United States,1994,21.0554591617453
50,United Kingdom,1995,50.963746531673
51,United States,1995,22.4533816490568
52,United Kingdom,1996,52.2105704421799
53,United States,1996,22.6870719902412
54,United Kingdom,1997,50.9544505383919
55,United States,1997,23.4283210916839
56,United Kingdom,1998,49.3102350984564
57,United States,1998,22.8258909523693
58,United Kingdom,1999,49.5807115835847
59,United States,1999,23.3135637046602
60,United Kingdom,2000,52.4696610703605
61,United States,2000,25.1029953595813
62,United Kingdom,2001,52.8068501200098
63,United States,2001,22.967181335596
64,United Kingdom,2002,51.3079566770037
65,United States,2002,22.2863741094897
66,United Kingdom,2003,50.1184829420287
67,United States,2003,22.6273130062789
68,United Kingdom,2004,50.3333786704145
69,United States,2004,24.4480622643257
70,United Kingdom,2005,52.5387545252611
71,United States,2005,25.6385530316517
72,United Kingdom,2006,56.7978669737384
73,United States,2006,26.9752780973197
74,United Kingdom,2007,52.8341458617977
75,United States,2007,28.0120176822667
76,United Kingdom,2008,56.4052881446909
77,United States,2008,29.8677957945319
78,United Kingdom,2009,54.5904907718499
79,United States,2009,24.7595311689876
80,United Kingdom,2010,58.8066344120899
81,United States,2010,28.2198952346731
82,United Kingdom,2011,63.1571958123099
83,United States,2011,30.8424862411943
84,United Kingdom,2012,61.8899501004237
85,United States,2012,30.6818353657295
86,United Kingdom,2013,61.6555274769174
87,United States,2013,30.0023671411205
88,United Kingdom,2014,58.8573173998444
89,United States,2014,29.9979997800853
90,United Kingdom,2015,56.9130212524948
91,United States,2015,27.8122335024973
92,United Kingdom,2016,59.256219551169
93,United States,2016,26.5869993604609
94,United Kingdom,2017,62.7995671959052
95,United States,2017,27.2791610220074
96,United Kingdom,2018,63.9997960517472
97,United States,2018,27.6103792720958
98,United Kingdom,2019,64.1301531307911
99,United States,2019,26.4519494737854
100,United Kingdom,2020,58.1161588438344
101,United States,2020,23.3837618777961
102,United Kingdom,2021,56.6703342315573
103,United States,2021,25.4814002667122
